time,edge_id,vehicle_count
21040.0,48794890,24
21040.0,668037874,1
21060.0,48794890,24
21060.0,668037874,1
21080.0,196961377#0,1
21080.0,48794890,23
21080.0,668037874,1
21100.0,48794890,23
21100.0,668037874,1
21120.0,48794890,23
21120.0,668037874,1
21140.0,48794890,23
21140.0,668037874,1
21160.0,48794890,23
21160.0,668037874,1
21180.0,48794890,23
21180.0,668037874,1
21200.0,48794890,23
21200.0,668037874,1
21220.0,48794890,23
21220.0,668037874,1
21240.0,48794890,23
21240.0,668037874,1
21260.0,48794890,23
21260.0,668037874,1
21280.0,48794890,23
21280.0,668037874,1
21300.0,48794890,23
21300.0,668037874,1
21320.0,48794890,23
21320.0,668037874,1
21340.0,48794890,23
21340.0,668037874,1
21360.0,48794890,23
21360.0,668037874,1
21380.0,48794890,23
21380.0,668037874,1
21400.0,48794890,22
21400.0,668037874,1
21420.0,48794890,22
21420.0,668037874,1
21440.0,48794890,22
21440.0,668037874,1
21460.0,48794890,22
21460.0,668037874,1
21480.0,48794890,22
21480.0,668037874,1
21500.0,48794890,22
21500.0,668037874,1
21520.0,48794890,22
21520.0,668037874,1
21540.0,48794890,22
21540.0,668037874,1
21560.0,48794890,22
21560.0,668037874,1
21580.0,48794890,22
21580.0,668037874,1
21600.0,48794890,22
21600.0,668037874,1
21620.0,48794890,22
21620.0,668037874,1
21640.0,48794890,22
21640.0,668037874,1
21660.0,48794890,22
21660.0,668037874,1
21680.0,48794890,22
21680.0,668037874,1
21700.0,196961377#0,1
21700.0,48794890,21
21700.0,668037874,1
21720.0,48794890,21
21720.0,668037874,1
21740.0,48794890,21
21740.0,668037874,1
21760.0,48794890,21
21760.0,668037874,1
21780.0,48794890,21
21780.0,668037874,1
21800.0,48794890,21
21800.0,668037874,1
21820.0,48794890,21
21820.0,668037874,1
21840.0,48794890,21
21840.0,668037874,1
21860.0,48794890,21
21860.0,668037874,1
21880.0,48794890,21
21880.0,668037874,1
21900.0,48794890,21
21900.0,668037874,1
21920.0,48794890,21
21920.0,668037874,1
21940.0,48794890,21
21940.0,668037874,1
21960.0,48794890,21
21960.0,668037874,1
21980.0,48794890,21
21980.0,668037874,1
22000.0,196961377#0,1
22000.0,48794890,20
22000.0,668037874,1
22020.0,48794890,20
22020.0,668037874,1
22040.0,48794890,20
22040.0,668037874,1
22060.0,48794890,20
22060.0,668037874,1
22080.0,48794890,20
22080.0,668037874,1
22100.0,48794890,20
22100.0,668037874,1
22120.0,48794890,20
22120.0,668037874,1
22140.0,48794890,20
22140.0,668037874,1
22160.0,48794890,20
22160.0,668037874,1
22180.0,48794890,20
22180.0,668037874,1
22200.0,48794890,20
22200.0,668037874,1
22220.0,48794890,20
22220.0,668037874,1
22240.0,48794890,20
22240.0,668037874,1
22260.0,48794890,20
22260.0,668037874,1
22280.0,48794890,20
22280.0,668037874,1
22300.0,196961377#0,1
22300.0,48794890,19
22300.0,668037874,1
22320.0,48794890,19
22320.0,668037874,1
22340.0,48794890,19
22340.0,668037874,1
22360.0,48794890,19
22360.0,668037874,1
22380.0,48794890,19
22380.0,668037874,1
22400.0,48794890,19
22400.0,668037874,1
22420.0,48794890,19
22420.0,668037874,1
22440.0,48794890,19
22440.0,668037874,1
22460.0,48794890,19
22460.0,668037874,1
22480.0,48794890,19
22480.0,668037874,1
22500.0,48794890,19
22500.0,668037874,1
22520.0,48794890,19
22520.0,668037874,1
22540.0,48794890,19
22540.0,668037874,1
22560.0,48794890,19
22560.0,668037874,1
22580.0,48794890,19
22580.0,668037874,1
22600.0,48794890,19
22600.0,668037874,1
22620.0,196961377#0,1
22620.0,48794890,18
22620.0,668037874,1
22640.0,48794890,18
22640.0,668037874,1
22660.0,48794890,18
22660.0,668037874,1
22680.0,48794890,18
22680.0,668037874,1
22700.0,48794890,18
22700.0,668037874,1
22720.0,48794890,18
22720.0,668037874,1
22740.0,48794890,18
22740.0,668037874,1
22760.0,48794890,18
22760.0,668037874,1
22780.0,48794890,18
22780.0,668037874,1
22800.0,48794890,18
22800.0,668037874,1
22820.0,48794890,18
22820.0,668037874,1
22840.0,48794890,18
22840.0,668037874,1
22860.0,48794890,18
22860.0,668037874,1
22880.0,48794890,18
22880.0,668037874,1
22900.0,48794890,18
22900.0,668037874,1
22920.0,196961377#0,1
22920.0,48794890,17
22920.0,668037874,1
22940.0,48794890,17
22940.0,668037874,1
22960.0,48794890,17
22960.0,668037874,1
22980.0,48794890,17
22980.0,668037874,1
23000.0,48794890,17
23000.0,668037874,1
23020.0,48794890,17
23020.0,668037874,1
23040.0,48794890,17
23040.0,668037874,1
23060.0,48794890,17
23060.0,668037874,1
23080.0,48794890,17
23080.0,668037874,1
23100.0,48794890,17
23100.0,668037874,1
23120.0,48794890,17
23120.0,668037874,1
23140.0,48794890,17
23140.0,668037874,1
23160.0,48794890,17
23160.0,668037874,1
23180.0,48794890,17
23180.0,668037874,1
23200.0,48794890,17
23200.0,668037874,1
23220.0,196961377#0,1
23220.0,48794890,16
23220.0,668037874,1
23240.0,48794890,16
23240.0,668037874,1
23260.0,48794890,16
23260.0,668037874,1
23280.0,48794890,16
23280.0,668037874,1
23300.0,48794890,16
23300.0,668037874,1
23320.0,48794890,16
23320.0,668037874,1
23340.0,48794890,16
23340.0,668037874,1
23360.0,48794890,16
23360.0,668037874,1
23380.0,48794890,16
23380.0,668037874,1
23400.0,48794890,16
23400.0,668037874,1
23420.0,48794890,16
23420.0,668037874,1
23440.0,48794890,16
23440.0,668037874,1
23460.0,48794890,16
23460.0,668037874,1
23480.0,48794890,16
23480.0,668037874,1
23500.0,48794890,16
23500.0,668037874,1
23520.0,196961377#0,1
23520.0,48794890,15
23520.0,668037874,1
23540.0,48794890,15
23540.0,668037874,1
23560.0,48794890,15
23560.0,668037874,1
23580.0,48794890,15
23580.0,668037874,1
23600.0,48794890,15
23600.0,668037874,1
23620.0,48794890,15
23620.0,668037874,1
23640.0,48794890,15
23640.0,668037874,1
23660.0,48794890,15
23660.0,668037874,1
23680.0,48794890,15
23680.0,668037874,1
23700.0,48794890,15
23700.0,668037874,1
23720.0,48794890,15
23720.0,668037874,1
23740.0,48794890,15
23740.0,668037874,1
23760.0,48794890,15
23760.0,668037874,1
23780.0,48794890,15
23780.0,668037874,1
23800.0,48794890,15
23800.0,668037874,1
23820.0,48794890,15
23820.0,668037874,1
23840.0,48794890,14
23840.0,668037874,1
23860.0,48794890,14
23860.0,668037874,1
23880.0,48794890,14
23880.0,668037874,1
23900.0,48794890,14
23900.0,668037874,1
23920.0,48794890,14
23920.0,668037874,1
23940.0,48794890,14
23940.0,668037874,1
23960.0,48794890,14
23960.0,668037874,1
23980.0,48794890,14
23980.0,668037874,1
24000.0,48794890,14
24000.0,668037874,1
24020.0,48794890,14
24020.0,668037874,1
24040.0,48794890,14
24040.0,668037874,1
24060.0,48794890,14
24060.0,668037874,1
24080.0,48794890,14
24080.0,668037874,1
24100.0,48794890,14
24100.0,668037874,1
24120.0,48794890,14
24120.0,668037874,1
24140.0,196961377#0,1
24140.0,48794890,13
24140.0,668037874,1
24160.0,48794890,13
24160.0,668037874,1
24180.0,48794890,13
24180.0,668037874,1
24200.0,48794890,13
24200.0,668037874,1
24220.0,48794890,13
24220.0,668037874,1
24240.0,48794890,13
24240.0,668037874,1
24260.0,48794890,13
24260.0,668037874,1
24280.0,48794890,13
24280.0,668037874,1
24300.0,48794890,13
24300.0,668037874,1
24320.0,48794890,13
24320.0,668037874,1
24340.0,48794890,13
24340.0,668037874,1
24360.0,48794890,13
24360.0,668037874,1
24380.0,48794890,13
24380.0,668037874,1
24400.0,48794890,13
24400.0,668037874,1
24420.0,48794890,13
24420.0,668037874,1
24440.0,196961377#0,1
24440.0,48794890,12
24440.0,668037874,1
24460.0,48794890,12
24460.0,668037874,1
24480.0,48794890,12
24480.0,668037874,1
24500.0,48794890,12
24500.0,668037874,1
24520.0,48794890,12
24520.0,668037874,1
24540.0,48794890,12
24540.0,668037874,1
24560.0,48794890,12
24560.0,668037874,1
24580.0,48794890,12
24580.0,668037874,1
24600.0,48794890,12
24600.0,668037874,1
24620.0,48794890,12
24620.0,668037874,1
24640.0,48794890,12
24640.0,668037874,1
24660.0,48794890,12
24660.0,668037874,1
24680.0,48794890,12
24680.0,668037874,1
24700.0,48794890,12
24700.0,668037874,1
24720.0,48794890,12
24720.0,668037874,1
24740.0,48794890,12
24740.0,668037874,1
24760.0,48794890,11
24760.0,668037874,1
24780.0,48794890,11
24780.0,668037874,1
24800.0,48794890,11
24800.0,668037874,1
24820.0,48794890,11
24820.0,668037874,1
24840.0,48794890,11
24840.0,668037874,1
24860.0,48794890,11
24860.0,668037874,1
24880.0,48794890,11
24880.0,668037874,1
24900.0,48794890,11
24900.0,668037874,1
24920.0,48794890,11
24920.0,668037874,1
24940.0,48794890,11
24940.0,668037874,1
24960.0,48794890,11
24960.0,668037874,1
24980.0,48794890,11
24980.0,668037874,1
25000.0,48794890,11
25000.0,668037874,1
25020.0,48794890,11
25020.0,668037874,1
25040.0,48794890,11
25040.0,668037874,1
25060.0,196961377#0,1
25060.0,48794890,10
25060.0,668037874,1
25080.0,48794890,10
25080.0,668037874,1
25100.0,48794890,10
25100.0,668037874,1
25120.0,48794890,10
25120.0,668037874,1
25140.0,48794890,10
25140.0,668037874,1
25160.0,48794890,10
25160.0,668037874,1
25180.0,48794890,10
25180.0,668037874,1
25200.0,48794890,10
25200.0,668037874,1
25220.0,48794890,10
25220.0,668037874,1
25240.0,48794890,10
25240.0,668037874,1
25260.0,48794890,10
25260.0,668037874,1
25280.0,48794890,10
25280.0,668037874,1
25300.0,48794890,10
25300.0,668037874,1
25320.0,48794890,10
25320.0,668037874,1
25340.0,48794890,10
25340.0,668037874,1
25360.0,196961377#0,1
25360.0,48794890,9
25360.0,668037874,1
25380.0,48794890,9
25380.0,668037874,1
25400.0,48794890,9
25400.0,668037874,1
25420.0,48794890,9
25420.0,668037874,1
25440.0,48794890,9
25440.0,668037874,1
25460.0,48794890,9
25460.0,668037874,1
25480.0,48794890,9
25480.0,668037874,1
25500.0,48794890,9
25500.0,668037874,1
25520.0,48794890,9
25520.0,668037874,1
25540.0,48794890,9
25540.0,668037874,1
25560.0,48794890,9
25560.0,668037874,1
25580.0,48794890,9
25580.0,668037874,1
25600.0,48794890,9
25600.0,668037874,1
25620.0,48794890,9
25620.0,668037874,1
25640.0,48794890,9
25640.0,668037874,1
25660.0,196961377#0,1
25660.0,48794890,8
25660.0,668037874,1
25680.0,48794890,8
25680.0,668037874,1
25700.0,48794890,8
25700.0,668037874,1
25720.0,48794890,8
25720.0,668037874,1
25740.0,48794890,8
25740.0,668037874,1
25760.0,48794890,8
25760.0,668037874,1
25780.0,48794890,8
25780.0,668037874,1
25800.0,48794890,8
25800.0,668037874,1
25820.0,48794890,8
25820.0,668037874,1
25840.0,48794890,8
25840.0,668037874,1
25860.0,48794890,8
25860.0,668037874,1
25880.0,48794890,8
25880.0,668037874,1
25900.0,48794890,8
25900.0,668037874,1
25920.0,48794890,8
25920.0,668037874,1
25940.0,48794890,8
25940.0,668037874,1
25960.0,48794890,8
25960.0,668037874,1
25980.0,196961377#0,1
25980.0,48794890,7
25980.0,668037874,1
26000.0,48794890,7
26000.0,668037874,1
26020.0,48794890,7
26020.0,668037874,1
26040.0,48794890,7
26040.0,668037874,1
26060.0,48794890,7
26060.0,668037874,1
26080.0,48794890,7
26080.0,668037874,1
26100.0,48794890,7
26100.0,668037874,1
26120.0,48794890,7
26120.0,668037874,1
26140.0,48794890,7
26140.0,668037874,1
26160.0,48794890,7
26160.0,668037874,1
26180.0,48794890,7
26180.0,668037874,1
26200.0,48794890,7
26200.0,668037874,1
26220.0,48794890,7
26220.0,668037874,1
26240.0,48794890,7
26240.0,668037874,1
26260.0,48794890,7
26260.0,668037874,1
26280.0,196961377#0,1
26280.0,48794890,6
26280.0,668037874,1
26300.0,48794890,6
26300.0,668037874,1
26320.0,48794890,6
26320.0,668037874,1
26340.0,48794890,6
26340.0,668037874,1
26360.0,48794890,6
26360.0,668037874,1
26380.0,48794890,6
26380.0,668037874,1
26400.0,48794890,6
26400.0,668037874,1
26420.0,48794890,6
26420.0,668037874,1
26440.0,48794890,6
26440.0,668037874,1
26460.0,48794890,6
26460.0,668037874,1
26480.0,48794890,6
26480.0,668037874,1
26500.0,48794890,6
26500.0,668037874,1
26520.0,48794890,6
26520.0,668037874,1
26540.0,48794890,6
26540.0,668037874,1
26560.0,48794890,6
26560.0,668037874,1
26580.0,196961377#0,1
26580.0,48794890,5
26580.0,668037874,1
26600.0,48794890,5
26600.0,668037874,1
26620.0,48794890,5
26620.0,668037874,1
26640.0,48794890,5
26640.0,668037874,1
26660.0,48794890,5
26660.0,668037874,1
26680.0,48794890,5
26680.0,668037874,1
26700.0,48794890,5
26700.0,668037874,1
26720.0,48794890,5
26720.0,668037874,1
26740.0,48794890,5
26740.0,668037874,1
26760.0,48794890,5
26760.0,668037874,1
26780.0,48794890,5
26780.0,668037874,1
26800.0,48794890,5
26800.0,668037874,1
26820.0,48794890,5
26820.0,668037874,1
26840.0,48794890,5
26840.0,668037874,1
26860.0,48794890,5
26860.0,668037874,1
26880.0,196961377#0,1
26880.0,48794890,4
26880.0,668037874,1
26900.0,48794890,4
26900.0,668037874,1
26920.0,48794890,4
26920.0,668037874,1
26940.0,48794890,4
26940.0,668037874,1
26960.0,48794890,4
26960.0,668037874,1
26980.0,48794890,4
26980.0,668037874,1
27000.0,48794890,4
27000.0,668037874,1
27020.0,48794890,4
27020.0,668037874,1
27040.0,48794890,4
27040.0,668037874,1
27060.0,48794890,4
27060.0,668037874,1
27080.0,48794890,4
27080.0,668037874,1
27100.0,48794890,4
27100.0,668037874,1
27120.0,48794890,4
27120.0,668037874,1
27140.0,48794890,4
27140.0,668037874,1
27160.0,48794890,4
27160.0,668037874,1
27180.0,48794890,4
27180.0,668037874,1
27200.0,48794890,3
27200.0,668037874,1
27220.0,48794890,3
27220.0,668037874,1
27240.0,48794890,3
27240.0,668037874,1
27260.0,48794890,3
27260.0,668037874,1
27280.0,48794890,3
27280.0,668037874,1
27300.0,48794890,3
27300.0,668037874,1
27320.0,48794890,3
27320.0,668037874,1
27340.0,48794890,3
27340.0,668037874,1
27360.0,48794890,3
27360.0,668037874,1
27380.0,48794890,3
27380.0,668037874,1
27400.0,48794890,3
27400.0,668037874,1
27420.0,48794890,3
27420.0,668037874,1
27440.0,48794890,3
27440.0,668037874,1
27460.0,48794890,3
27460.0,668037874,1
27480.0,48794890,3
27480.0,668037874,1
27500.0,196961377#0,1
27500.0,48794890,2
27500.0,668037874,1
27520.0,48794890,2
27520.0,668037874,1
27540.0,48794890,2
27540.0,668037874,1
27560.0,48794890,2
27560.0,668037874,1
27580.0,48794890,2
27580.0,668037874,1
27600.0,48794890,2
27600.0,668037874,1
27620.0,48794890,2
27620.0,668037874,1
27640.0,48794890,2
27640.0,668037874,1
27660.0,48794890,2
27660.0,668037874,1
27680.0,48794890,2
27680.0,668037874,1
27700.0,48794890,2
27700.0,668037874,1
27720.0,48794890,2
27720.0,668037874,1
27740.0,48794890,2
27740.0,668037874,1
27760.0,48794890,2
27760.0,668037874,1
27780.0,48794890,2
27780.0,668037874,1
27800.0,196961377#0,1
27800.0,48794890,1
27800.0,668037874,1
27820.0,48794890,1
27820.0,668037874,1
27840.0,48794890,1
27840.0,668037874,1
27860.0,48794890,1
27860.0,668037874,1
27880.0,48794890,1
27880.0,668037874,1
27900.0,48794890,1
27900.0,668037874,1
27920.0,48794890,1
27920.0,668037874,1
27940.0,48794890,1
27940.0,668037874,1
27960.0,48794890,1
27960.0,668037874,1
27980.0,48794890,1
27980.0,668037874,1
28000.0,48794890,1
28000.0,668037874,1
28020.0,48794890,1
28020.0,668037874,1
28040.0,48794890,1
28040.0,668037874,1
28060.0,48794890,1
28060.0,668037874,1
28080.0,48794890,1
28080.0,668037874,1
28100.0,196961377#0,1
28100.0,668037874,1
28120.0,668037874,1
28140.0,668037874,1
28160.0,668037874,1
28180.0,668037874,1
28200.0,668037874,1
28220.0,668037874,1
28240.0,668037874,1
28260.0,668037874,1
28280.0,668037874,1
28300.0,668037874,1
28320.0,668037874,1
28340.0,668037874,1
28360.0,668037874,1
28380.0,668037874,1
28400.0,668037874,1
